I0810 15:18:34.793453       6 worker.go:40] Waiting on: (/tmp/results/done)
I0810 15:18:34.793480       6 worker.go:45] Sleeping
I0810 15:18:35.793656       6 worker.go:45] Sleeping
I0810 15:18:36.793910       6 worker.go:45] Sleeping
I0810 15:18:37.794021       6 worker.go:45] Sleeping
I0810 15:18:38.794213       6 worker.go:45] Sleeping
I0810 15:18:39.794304       6 worker.go:45] Sleeping
I0810 15:18:40.794500       6 worker.go:45] Sleeping
I0810 15:18:41.794730       6 worker.go:45] Sleeping
I0810 15:18:42.794940       6 worker.go:45] Sleeping
I0810 15:18:43.795114       6 worker.go:45] Sleeping
I0810 15:18:44.795304       6 worker.go:45] Sleeping
I0810 15:18:45.795541       6 worker.go:45] Sleeping
I0810 15:18:46.795737       6 worker.go:45] Sleeping
I0810 15:18:47.799285       6 worker.go:45] Sleeping
I0810 15:18:48.799479       6 worker.go:45] Sleeping
I0810 15:18:49.799670       6 worker.go:45] Sleeping
I0810 15:18:50.799897       6 worker.go:45] Sleeping
I0810 15:18:51.800108       6 worker.go:45] Sleeping
I0810 15:18:52.800300       6 worker.go:45] Sleeping
I0810 15:18:53.800733       6 worker.go:45] Sleeping
I0810 15:18:54.801112       6 worker.go:45] Sleeping
I0810 15:18:55.801389       6 worker.go:45] Sleeping
I0810 15:18:56.801646       6 worker.go:45] Sleeping
I0810 15:18:57.801916       6 worker.go:45] Sleeping
I0810 15:18:58.802201       6 worker.go:45] Sleeping
I0810 15:18:59.802455       6 worker.go:45] Sleeping
I0810 15:19:00.802708       6 worker.go:45] Sleeping
I0810 15:19:01.802912       6 worker.go:45] Sleeping
I0810 15:19:02.803198       6 worker.go:45] Sleeping
I0810 15:19:03.803411       6 worker.go:45] Sleeping
I0810 15:19:04.803634       6 worker.go:45] Sleeping
I0810 15:19:05.803839       6 worker.go:45] Sleeping
I0810 15:19:06.804036       6 worker.go:45] Sleeping
I0810 15:19:07.804232       6 worker.go:45] Sleeping
I0810 15:19:08.804437       6 worker.go:45] Sleeping
I0810 15:19:09.804647       6 worker.go:45] Sleeping
I0810 15:19:10.804875       6 worker.go:45] Sleeping
I0810 15:19:11.805197       6 worker.go:45] Sleeping
I0810 15:19:12.805393       6 worker.go:45] Sleeping
I0810 15:19:13.805611       6 worker.go:45] Sleeping
I0810 15:19:14.805830       6 worker.go:45] Sleeping
